bandgap,eform,SLICES
2.0,-1.0,K K K K Te Te Br Br Br Br Br Br Br Br Br Br Br Br 0 16 ooo 0 14 oo- 0 12 oo- 0 11 o+- 0 15 +oo 0 9 o+o 1 12 ooo 1 16 ooo 1 13 oo+ 1 17 -oo 1 8 ooo 1 6 -oo 2 10 o-o 2 11 o-o 2 13 ooo 2 17 ooo 2 16 ooo 2 7 ooo 2 8 o-+ 3 11 -oo 3 13 ooo 3 15 o+- 3 9 o+o 3 12 oo- 3 6 ooo 3 14 ooo 4 10 +-o 4 11 o-o 4 15 o-o 4 9 ooo 5 13 -+o 5 16 -oo 5 8 ooo 5 7 ooo
2.0,-1.0,K K Tm Tl Ag Se Se Se 0 7 o-o 0 7 +-o 0 6 +oo 0 6 ooo 0 5 o-o 0 4 ooo 1 6 ooo 1 7 ooo 1 5 ooo 1 5 -oo 1 4 ooo 1 4 -oo 2 5 --- 2 5 o-- 2 4 -oo 2 4 ooo 2 7 o-o 2 6 oo- 3 4 ooo 3 5 oo- 3 7 ooo 3 7 +oo 3 6 +o- 3 6 oo-
2.0,-1.0,K K Hg Br 0 3 o+o 0 3 +oo 0 3 ++o 0 2 o+- 0 2 +o- 1 3 -oo 1 3 o-o 1 2 ooo 1 2 oo- 1 2 -oo
2.0,-1.0,Ge K Cl Sn 0 2 ooo 0 2 o+o 0 1 oo+ 0 1 o++ 0 1 +o+ 0 1 +oo 1 3 o-- 2 3 ooo
2.0,-1.0,I K I I Cu I K Sn I I K I 1 0 ooo 1 3 ooo 1 5 o+o 1 9 o+o 1 8 ooo 1 2 +oo 6 3 ooo 6 2 o-o 6 8 ooo 6 9 -oo 6 0 o-o 10 0 ooo 10 9 -o- 10 3 ooo 10 2 ooo 10 5 oo- 4 0 ooo 4 8 ooo 4 9 o+o 4 3 ++o 7 2 ooo 7 5 o-- 7 8 oo- 7 3 ooo 11 8 ooo 11 2 --o 11 9 o-o 11 5 oo+
2.0,-1.0,Pb K Br I Hg Br K Hg Br 0 5 ooo 0 2 -oo 0 2 ooo 0 8 oo- 0 8 -o- 0 3 ooo 6 8 +oo 6 8 ooo 6 5 oo+ 6 5 +o+ 1 8 -o- 1 3 --o 1 3 o-o 1 2 --- 1 7 ooo 1 7 --o 4 5 o-o 4 3 ooo 4 8 ooo 4 2 ++o 4 7 o+o 4 7 ooo
2.0,-1.0,K K K K Sn Sn Te Te Se Se Se Se Se Se 0 9 -oo 0 10 o-+ 0 6 ooo 0 8 o-o 0 7 ooo 1 7 ooo 1 11 ooo 1 13 -oo 1 10 ooo 1 12 ooo 2 6 o+- 2 12 ooo 2 13 +oo 2 8 o+- 2 7 oo- 2 9 ooo 3 13 ooo 3 11 ooo 3 12 ooo 3 6 ooo 3 7 oo- 3 8 ooo 4 10 ooo 4 8 +o- 4 9 oo- 4 12 +oo 4 7 oo- 4 6 ooo 5 13 ooo 5 11 o+o 5 9 o+- 5 10 ooo 5 6 +oo 5 8 ++- 5 7 o+-
2.0,-1.0,Tl I I Tl I I I I I I Rb 10 4 -oo 10 6 o-o 10 2 ooo 10 1 ooo 10 5 o-o 10 7 ooo 0 2 +o- 0 7 o-- 0 9 +oo 0 6 o+- 3 1 -o- 3 9 ooo 3 7 o+o 3 4 oo- 3 5 oo- 8 2 ooo 8 6 -oo 8 7 ooo 8 1 --o 8 4 ooo 8 5 --o 8 9 --o
2.0,-1.0,I K K I I I Sn K 1 0 ooo 1 3 oo- 1 4 oo- 1 5 ooo 2 4 o+o 2 0 -oo 2 3 ooo 2 5 ooo 2 4 ooo 2 6 +oo 7 4 oo+ 7 0 ooo 7 5 -oo 7 3 o+o 7 6 o+o 7 0 o++
2.0,-1.0,Ba Ba Te Te N N N N N Ta N P 0 8 o-o 0 6 +-o 0 4 +oo 0 3 ooo 0 7 +o+ 0 2 ooo 1 7 ooo 1 8 ooo 1 6 ooo 1 3 ooo 1 2 ooo 1 4 ooo 1 3 ooo 2 9 -o- 2 10 -oo 2 8 o++ 3 9 ooo 4 11 oo- 5 8 ooo 5 9 o-o 6 10 oo- 7 11 ooo 8 11 oo- 9 10 o+o
2.0,-1.0,K K Ga Ga Sn Sn Se Se Se Se Se 0 8 ooo 0 9 ooo 0 7 +oo 0 5 o-- 0 6 +o- 1 10 o-o 1 6 oo- 1 5 -o- 1 7 o+o 1 9 -oo 2 8 o+- 2 10 ooo 2 6 ooo 2 9 -oo 2 8 o+o 2 5 ooo 3 7 ooo 3 6 +oo 3 10 o-o 3 5 ooo 3 8 ooo 4 7 ooo 4 5 --o 4 10 --o 4 9 --o 4 6 ooo
2.0,-1.0,In In In In In In Br Cl Br Cl Cl Cl 0 8 ooo 0 9 ooo 0 6 +oo 0 7 ooo 1 10 o+o 1 7 +oo 1 6 ooo 1 9 o+o 2 7 ooo 2 8 ooo 2 10 oo+ 2 5 ooo 3 9 ooo 3 6 ooo 3 4 ooo 3 4 o-o 4 11 oo+ 4 10 ooo 4 8 ooo 5 11 ooo 5 8 oo- 5 6 ooo 5 7 o+o
2.0,-1.0,Ge Ge Se Se Se I Cl Cl 0 7 -o- 0 4 o-o 0 6 oo- 0 3 --o 1 3 oo+ 1 7 ooo 1 4 o-o 1 6 +oo 2 6 ooo 2 5 ooo 2 3 ooo
2.0,-1.0,I I K I K Si I Sn I I 2 5 ooo 2 5 o-+ 2 1 ooo 2 0 ooo 2 3 o-o 2 8 ooo 4 5 ooo 4 0 ooo 4 1 -o+ 4 3 -oo 4 8 ooo 7 0 ooo 7 3 oo- 7 8 oo- 7 1 ooo 7 6 oo- 7 5 +o- 9 5 o+o 9 1 +oo 9 0 ooo 9 8 +oo 9 3 o+o 9 6 o+o 9 1 +oo
2.0,-1.0,Se Zn K Se K Se Be Se Mn K Se Se K Si Si Se 2 3 ooo 2 0 o-o 2 5 ooo 2 12 o-o 2 11 ooo 2 7 ooo 4 0 +-o 4 5 oo+ 4 11 ooo 4 12 oo+ 4 7 ooo 6 3 o+o 6 11 oo- 6 12 ooo 6 7 ooo 6 5 oo- 9 0 +oo 9 3 +o- 9 11 -+o 9 5 oo- 9 7 -oo 9 12 ooo 8 3 -o+ 8 0 ooo 8 7 ooo 8 11 ooo 8 12 -oo 8 5 -oo 1 5 o+o 1 0 ooo 1 7 ooo 10 12 ooo 10 11 ooo 10 12 ooo 13 3 ooo 13 3 +oo 13 7 ooo 13 11 +oo 13 12 ooo 14 0 +-o 14 7 o-o 14 11 ooo 14 12 o+o 15 12 o+o 15 7 ooo 15 5 oo- 15 0 o+o 15 5 o-o
2.0,-1.0,K K Se Ge 0 2 o-o 0 2 -oo 0 2 --o 0 2 ooo 1 2 oo- 1 2 o-- 1 2 -o- 1 2 o-o 3 2 -oo 3 2 ooo 3 2 oo- 3 2 o-o
2.0,-1.0,Te K Te Te K K Te Pb 1 3 -+o 1 2 -oo 1 2 ooo 1 0 ooo 1 6 oo+ 1 6 ooo 1 7 ooo 1 7 -+o 4 0 ooo 4 0 +oo 4 2 oo+ 4 6 oo+ 4 7 ooo 4 3 o-o 4 3 -oo 4 3 oo+ 5 2 -oo 5 6 o+o 5 3 -o- 5 0 ooo 5 7 o-- 5 6 o-o
2.0,-1.0,Rb Hg Br Br Br Br Hg 0 5 ooo 0 3 +oo 0 3 o-o 0 4 ooo 0 4 --o 0 4 -oo 0 2 oo+ 0 2 o++ 0 2 +++ 1 5 +oo 1 5 oo- 1 3 ++o 1 3 o+o 1 4 ooo 1 4 -oo 1 2 +oo 1 2 ooo 6 4 +o+ 6 2 oo+ 6 4 o-o 6 5 ooo 6 5 +oo 6 5 ooo 6 3 o+o
2.0,-1.0,Rb Rb I I Br Br 0 3 o-o 0 2 +-o 0 4 ooo 0 5 o-+ 0 5 oo+ 0 1 +o+ 1 3 oo+ 1 2 +oo 1 2 ooo 1 5 ooo 1 5 +oo 1 5 ooo 1 4 o-o 1 4 +-o 2 4 +oo 2 5 o-+ 3 5 ooo 3 4 ooo
2.0,-1.0,K K In In In I I I I I 0 5 ooo 0 7 ooo 0 8 ooo 0 9 ooo 0 6 ooo 0 4 ooo 1 9 ooo 1 8 -oo 1 7 o-o 1 5 o-+ 1 6 --+ 1 4 -o+ 2 7 ooo 2 8 o+o 2 9 +oo 2 5 +oo 2 4 o+o 2 6 ooo 3 5 o-o 3 4 ooo 3 6 -oo 3 8 oo- 3 9 oo- 3 7 oo-
2.0,-1.0,K K Rb Rb Rb In Cu Cu I I I I I I I I I I 0 9 ooo 0 9 +oo 0 11 ooo 0 11 +oo 0 8 oo+ 0 8 +o+ 1 10 ooo 1 10 -oo 1 12 --o 1 13 ooo 1 13 -oo 1 11 ooo 2 11 ooo 2 13 -oo 2 15 --o 2 14 ooo 2 16 -oo 2 16 ooo 2 13 -oo 2 13 ooo 3 16 ooo 3 8 ooo 3 8 +oo 3 15 o+o 3 15 ++o 3 17 ++o 3 14 +oo 3 14 ooo 4 10 o-o 4 9 ooo 4 17 oo+ 4 17 +o+ 5 15 o+o 5 12 ooo 5 12 -oo 5 14 ooo 6 13 ooo 6 11 +oo 6 11 ooo 6 14 ooo 6 14 +oo 6 12 ooo 7 8 ooo 7 9 -o- 7 16 ooo 7 16 -oo 7 9 oo- 7 17 ooo
2.0,-1.0,K K K K Te Te Hg 0 5 +oo 0 5 ooo 0 4 o+o 0 4 ooo 0 6 ooo 0 6 +oo 1 4 oo+ 1 4 +o+ 1 5 oo+ 1 5 ooo 1 6 o++ 2 4 oo+ 2 5 ooo 2 5 -oo 2 6 ooo 2 6 o-o 3 4 ooo 3 5 -oo 3 5 ooo 3 6 oo-
2.0,-1.0,K K Be S S K Sn S S 0 3 ooo 0 7 o+o 0 7 -oo 0 4 ooo 1 4 ooo 1 7 ooo 1 7 oo+ 1 3 o-o 5 4 +oo 5 4 o-o 5 7 ooo 5 3 oo- 6 7 -o- 6 4 ooo 6 3 ooo 6 2 --- 2 7 --o 2 3 ooo 2 4 o-o 2 4 --o 8 7 ooo 8 3 ooo 8 4 --o 8 4 o-o
2.0,-1.0,K K K K P P Se Se Se Se 0 6 ooo 0 7 +o+ 0 8 oo+ 0 5 o++ 1 7 ooo 1 8 o+o 1 6 +oo 1 9 ooo 2 9 +oo 2 9 ooo 2 6 ooo 2 7 ooo 2 8 ooo 3 8 -oo 3 7 ooo 3 6 o-o 3 9 ooo 3 9 -oo 4 7 ooo 4 6 ooo 4 9 o+o 4 8 ++o 5 6 ooo 5 8 +o+ 5 7 oo+ 5 9 ooo
2.0,-1.0,Hg K Br 0 1 o-o 0 1 oo- 0 1 -oo 0 1 ooo 1 2 o+o 1 2 +oo 1 2 oo+ 1 2 ooo
2.0,-1.0,K Br Tl Br I Tl Br I K Tl 0 4 ooo 0 1 ooo 0 3 ooo 0 7 ooo 0 6 ooo 0 9 ooo 8 7 -oo 8 6 o-o 8 9 ooo 8 3 o-+ 8 1 -o+ 8 4 --+ 5 4 -oo 5 1 o+o 5 9 +oo 5 7 ooo 5 6 ooo 5 3 +oo 2 4 -oo 2 1 ooo 2 1 ooo 2 9 oo- 2 6 oo- 2 7 oo-
2.0,-1.0,Ba Te Ba Te Te 0 4 o+o 0 4 ooo 0 1 ooo 0 1 o+o 0 1 ++o 0 2 oo+ 0 2 +oo 0 2 +o+ 2 4 ooo 2 4 ooo 3 4 oo+ 3 4 +oo 3 1 ooo
2.0,-1.0,S S Hg K K K Zn Te S K 4 8 o+o 4 3 -oo 4 1 -oo 4 7 ooo 4 0 ooo 5 1 o-o 5 8 +oo 5 7 oo- 5 3 ooo 5 3 ooo 6 0 o-o 6 1 +oo 6 8 ooo 6 8 +oo 6 7 oo- 6 3 ooo 9 1 ooo 9 7 ooo 9 0 o+o 9 3 -oo 9 8 ooo 9 7 -oo 2 0 o+- 2 3 ooo 2 1 o-+ 2 1 +oo
2.0,-1.0,Ba Ba P P N N N N N N N 0 7 +oo 0 7 ooo 0 6 ++o 0 6 o+o 0 6 ooo 0 5 o+o 0 4 ooo 0 8 ooo 0 8 +oo 0 9 ooo 1 9 -oo 1 9 ooo 1 7 --o 1 7 o-o 1 8 ooo 1 10 -oo 1 5 o-o 1 4 ooo 1 4 --o 2 5 ooo 2 6 ooo 2 10 oo- 3 8 ooo 3 9 ooo 3 10 ooo
2.0,-1.0,K Te Cd Cd K Te K Te K Te K Te 0 3 +oo 0 10 ooo 0 1 ooo 0 7 o-o 4 3 ooo 4 3 -oo 4 7 ooo 4 10 oo+ 6 10 -oo 6 7 ooo 6 1 +oo 6 9 ooo 8 3 ooo 8 5 oo- 8 5 +oo 8 10 ooo 11 1 ooo 11 7 ooo 11 9 -oo 11 1 ooo 2 10 ooo 2 7 +oo 2 1 ooo 2 9 ooo
2.0,-1.0,In In I Bi Cl Cl Cl Cl 0 4 o+o 0 4 -+o 0 6 ooo 0 6 ooo 0 7 -oo 1 4 oo+ 1 4 ooo 1 6 +-o 1 6 o-o 1 7 ooo 2 5 oo- 2 5 ooo 3 7 +oo 3 5 ooo
2.0,-1.0,K K K K Cu Cu Ge Ge Br Br Br Br Br Br Br Br Br Br 0 10 o+o 0 10 ++o 0 8 oo+ 0 8 +o+ 0 11 ooo 0 11 +oo 0 9 ooo 1 10 ooo 1 13 -oo 1 13 ooo 1 11 ooo 1 9 -oo 1 9 ooo 1 12 --o 2 15 o-o 2 15 --o 2 13 -oo 2 13 ooo 2 16 -oo 2 16 ooo 2 14 ooo 3 15 +oo 3 8 ooo 3 8 +oo 3 15 ooo 3 17 ++o 3 14 ooo 3 16 ooo 4 13 ooo 4 11 +oo 4 11 ooo 4 14 +oo 5 8 ooo 5 16 -oo 5 16 ooo 5 17 ooo 6 9 ooo 6 10 ooo 6 17 oo+ 6 17 +o+ 7 15 ooo 7 12 ooo 7 12 ooo 7 14 ooo
2.0,-1.0,Te K Cd K 2 0 -oo 2 0 o-o 2 0 ooo 2 1 oo+ 2 1 --+ 3 0 oo- 3 0 ooo 3 1 ooo 3 1 o-o 3 1 -oo
2.0,-1.0,K K Cd H S S 0 4 ooo 0 4 +oo 0 4 o+o 0 4 ++o 0 3 oo+ 0 3 +o+ 1 5 -oo 1 5 o-o 1 5 --o 1 5 ooo 1 3 ooo 1 3 o-o 2 4 ooo 2 5 +oo 2 5 ooo 2 5 ++o 2 3 +oo 2 3 ooo
2.0,-1.0,Br Hg K Br In K Br Br In Br In Br K Br Br Br 2 3 ooo 2 7 ooo 2 6 o+o 2 9 ooo 2 12 ooo 5 11 ooo 5 12 ooo 5 6 ooo 5 0 ooo 5 9 o-o 8 11 ooo 8 7 ooo 8 12 -oo 8 3 ooo 10 6 +oo 10 7 ooo 10 9 +oo 10 11 ooo 13 0 ooo 13 12 ooo 13 11 -oo 13 9 ooo 1 3 -o- 1 6 ooo 1 0 o-o 1 15 --- 4 9 ooo 4 6 -oo 4 11 --o 4 12 oo- 14 7 ooo 14 0 o-o 14 3 ooo 14 11 ooo 15 6 o+o 15 13 ooo
2.0,-1.0,In In Sn Sn Sn Sn I I I I I I I I I I I I 0 7 -oo 0 9 o-- 0 12 --- 0 15 ooo 0 6 --o 0 17 oo- 1 16 --o 1 10 ooo 1 13 -oo 1 8 o-o 1 14 ooo 1 11 --o 2 11 ooo 2 6 ooo 2 7 ooo 2 10 ooo 2 13 ooo 2 15 ooo 3 14 ooo 3 17 ooo 3 9 ooo 3 16 ooo 3 8 ooo 3 12 ooo 4 15 o+o 4 13 o+o 4 11 -oo 4 6 ooo 4 10 ooo 4 7 -oo 5 12 o-o 5 8 o-o 5 14 +oo 5 17 ooo 5 9 +oo 5 16 ooo
2.0,-1.0,K K Hg Br 0 2 -oo 0 2 oo- 0 2 ooo 0 2 o-o 1 3 +oo 1 3 oo+ 1 3 ooo 1 2 o+o
2.0,-1.0,Br Cu K K 0 1 oo- 0 1 o-o 0 2 --- 0 2 ooo 0 2 -oo 0 3 o-o 0 3 ooo 0 3 --o 1 3 --o 1 3 o-o 1 3 -oo 1 2 -o- 1 2 --o 1 2 ooo 1 2 oo- 1 2 o-- 2 3 o-o 2 3 ooo
2.0,-1.0,K Te Te K K Te Ca Ca K Te K Te Te K K K 0 1 o+o 0 6 ooo 0 5 ooo 0 2 -oo 0 13 ooo 0 11 ooo 3 1 ooo 3 5 o-o 3 9 o-o 3 11 ooo 3 13 ooo 4 2 +-o 4 11 ooo 4 11 ooo 4 5 ooo 4 5 +oo 7 1 oo+ 7 5 oo+ 7 13 -oo 7 2 ooo 7 11 ooo 7 12 ooo 8 5 +o- 8 1 oo- 8 13 +oo 8 11 ooo 8 2 ooo 8 2 +oo 10 2 +o- 10 11 ooo 10 6 +oo 10 5 oo- 10 6 ooo 10 13 ooo 12 1 -oo 12 11 ooo 12 13 -oo 12 13 ooo 12 13 ooo 14 2 o-- 14 6 ooo 14 5 oo- 14 15 +oo 15 1 o-o 15 2 oo- 15 6 ooo 15 1 o-o 15 5 ooo
2.0,-1.0,K K K K Ga Ga Sb Sb S S S S S S S S 0 8 ooo 0 10 ooo 0 14 ooo 0 13 ooo 0 15 ooo 1 10 ooo 1 8 oo+ 1 12 ooo 1 15 +oo 1 14 ooo 2 11 oo+ 2 12 +oo 2 12 ooo 2 14 ooo 2 13 ooo 3 11 ooo 3 13 -oo 3 15 ooo 3 9 ooo 3 10 -oo 4 9 o-o 4 13 ooo 4 15 ooo 4 12 oo- 5 11 ooo 5 8 o+o 5 14 o+- 5 13 ooo 6 10 o+o 6 9 ooo 6 14 oo- 6 12 ooo 7 8 +-o 7 11 o-o 7 13 ooo 7 15 +oo
2.0,-1.0,Br Br In Br In I In Br In Br In Br In Br Br Br 6 3 ooo 6 0 ooo 6 12 ooo 6 7 oo- 6 5 ooo 6 10 ooo 4 3 +oo 4 7 ooo 4 0 oo+ 4 1 +oo 4 5 ooo 11 10 -oo 11 7 ooo 11 5 ooo 11 13 ooo 11 9 ooo 11 1 -oo 14 7 ooo 14 0 oo+ 14 10 o+o 14 12 ooo 14 5 ooo 15 12 ooo 15 13 o+o 15 10 o-o 15 9 ooo 2 1 +-o 2 12 o-o 2 7 o-o 2 13 oo- 8 13 ooo 8 10 +oo 8 3 +o- 8 0 oo- 8 13 ooo 8 9 oo-
2.0,-1.0,Bi Se Bi Se Se Se I Bi Se Pr 1 8 ooo 1 5 oo- 1 3 ooo 1 4 ooo 2 0 o+o 2 8 ooo 2 5 +o- 2 4 o+- 2 6 oo- 9 5 o-o 9 6 oo- 9 8 oo- 9 8 ooo 9 3 ooo 9 4 oo- 9 4 o-o 7 4 -oo 7 6 oo- 7 5 oo- 7 8 oo- 7 6 -o-
4.0,-4.0,Ba Ba Ta Ta F F F F F F F F F F F F F F 0 12 ooo 0 13 --o 0 16 o-o 0 17 -oo 0 11 ooo 0 10 --o 0 15 ooo 0 14 -oo 0 8 o-o 1 9 oo- 1 6 ooo 1 7 ooo 1 12 ooo 1 13 ooo 1 15 ooo 1 17 ooo 1 5 ooo 1 16 ooo 2 10 o+o 2 11 ooo 2 13 o+o 2 8 ooo 2 4 ooo 2 14 ooo 3 11 +oo 3 12 o-o 3 14 ooo 3 15 ooo 3 7 +oo 3 6 ooo
4.0,-4.0,F F K Ti F Ti F F F F K F 2 11 ooo 2 10 ooo 2 8 oo+ 2 7 ooo 2 1 ooo 2 4 ooo 9 11 ooo 9 10 ooo 9 0 oo- 9 6 ooo 9 1 ooo 9 8 ooo 3 7 ooo 3 10 --o 3 4 -oo 3 8 o-o 5 11 ooo 5 0 o-o 5 6 -oo 5 1 --o
4.0,-4.0,Gd Gd Ga Ga F F F F F F F F F F F F F F 0 10 --o 0 13 oo- 0 9 o-- 0 7 -oo 0 8 --- 0 14 ooo 0 12 -o- 0 15 o-o 0 6 --o 0 17 oo- 1 10 ooo 1 16 --o 1 11 ooo 1 8 o-o 1 7 --o 1 14 -oo 1 6 o-o 1 12 -oo 2 6 ooo 2 15 ooo 2 11 ooo 2 14 ooo 2 10 ooo 2 13 ooo 3 8 ooo 3 17 ooo 3 9 ooo 3 16 ooo 3 7 ooo 3 13 ooo 4 15 ooo 4 12 ooo 4 11 +oo 4 17 o+o 4 10 ooo 4 16 ooo 5 13 ooo 5 8 ooo 5 14 ooo 5 9 --o 5 6 o-o 5 12 -oo
4.0,-4.0,Gd O O O In Pr Tm O Sm O O O 4 10 ooo 4 11 ooo 4 9 oo+ 4 2 ooo 4 3 ooo 4 1 ooo 5 10 ooo 5 7 oo- 5 2 ooo 5 1 ooo 5 3 ooo 5 11 ooo 8 10 --o 8 11 ooo 8 3 --- 8 7 ooo 8 1 o-o 8 2 -oo 0 7 o-- 0 10 ooo 0 9 --- 0 1 -oo 0 2 o-o 0 3 -o- 6 11 o+o 6 1 ooo 6 2 +oo 6 9 o-o
4.0,-4.0,S Sm Pr Pr Y S Tm Tm Pr Sc 2 9 oo+ 2 8 ooo 2 5 ooo 2 5 oo+ 2 0 -o+ 2 0 -oo 3 1 ooo 3 0 oo+ 3 4 ooo 3 4 oo+ 3 8 ooo 3 9 oo+ 6 5 oo+ 6 9 ooo 6 8 ooo 6 0 o-o 6 1 o-o 6 1 -oo 7 9 ooo 7 5 ooo 7 8 ooo 7 0 o-+ 7 1 o-o 7 4 ooo 1 0 o-o 1 8 +oo
4.0,-4.0,Gd Nb Gd Gd Gd Gd O O O O O O O O 0 13 -oo 0 13 ooo 0 8 oo- 0 9 -o- 0 11 ooo 0 10 ooo 1 12 o-o 1 6 ooo 1 11 ooo 1 10 o-o 1 9 ooo 1 12 ooo 2 10 o-o 2 13 ooo 2 12 --o 2 11 ooo 2 10 o-o 2 8 ooo 3 8 ooo 3 13 o-o 3 11 --o 3 6 -oo 3 7 o-o 3 9 ooo 4 6 o-o 4 8 oo+ 4 10 ooo 4 11 o-o 4 7 +-+ 4 7 o-+ 5 9 oo+ 5 6 o-o 5 13 +o- 5 12 oo+ 5 11 +oo 5 7 oo+
4.0,-4.0,Pr Mg Tb Tb B B B B O O O O O O O O O O O O 0 13 -o- 0 9 o-o 0 8 --o 0 15 oo- 0 16 o-- 0 17 -oo 0 18 -o- 0 11 o-o 1 13 ooo 1 8 ooo 1 10 ooo 1 12 -oo 1 9 ooo 1 14 o-o 1 19 oo- 1 17 oo- 2 16 ooo 2 8 ooo 2 9 ooo 2 12 o-o 2 10 o-o 2 14 ooo 2 19 ooo 2 15 ooo 3 13 ooo 3 11 -oo 3 18 -oo 3 16 ooo 3 11 ooo 3 8 ooo 3 10 ooo 3 17 ooo 4 15 ooo 4 13 ooo 5 15 +oo 5 12 ooo 6 11 o+o 7 14 ooo
