eform_target,SLICES,eform_chgnet,poscar,novelty
-1.0,Li Li Li Li Li Li Cu Cu S S S S 0 6 +oo 0 6 ooo 0 5 oo- 0 11 o+- 1 8 o-o 1 8 ooo 1 7 +oo 1 10 ooo 2 7 --o 2 10 -oo 2 9 o-o 2 11 ooo 3 11 -oo 3 6 ooo 3 7 oo+ 3 10 o+o 4 10 ooo 4 8 ooo 4 8 ooo 4 9 +oo 5 9 o+o 5 8 o-o 5 10 -oo 6 11 oo- 6 9 ooo 6 8 o+o 7 9 +oo 7 10 -oo 7 11 o-o 7 8 ooo,-0.9477308262117514,Li6 Cu2 S4\n1.0\n   6.2957982277086062    0.0000000000000000    0.0000000000000000\n   3.0547308360511933    5.5808790877266903    0.0000000000000000\n   2.5759433773942657    0.8200531516560847    6.5789566556004866\nLi Cu S\n6 2 4\ndirect\n   0.0436654989478735    0.8890826376242615    0.8377537374630554 Li\n   0.6603973932672136    0.7152985284461053    0.0648233914645415 Li\n   0.3766529433418345    0.3318006092656457    0.2621077222195013 Li\n   0.0897389232747643    0.8729288960046999    0.4511305465399887 Li\n   0.4717394897224204    0.2625257592512685    0.6865662596256674 Li\n   0.7196452864845397    0.6397469738807351    0.5227190992930010 Li\n   0.9220234065537056    0.3498297862068077    0.2833178492257877 Cu\n   0.9844372004213535    0.4500504418033048    0.7812149642248716 Cu\n   0.0948436818087126    0.2098123476389719    0.5547933115744494 S\n   0.7338160466969530    0.8539741456632624    0.7254301477025960 S\n   0.1647260522953733    0.4702609785074302    0.9968383508798541 S\n   0.4949806895838746    0.5513003585481736    0.3813290408446527 S\n,1
-1.0,Rb Rb Ag Mo Br Br Br Br Br Br 0 8 ooo 0 8 o+o 0 4 oo+ 0 4 o+o 0 6 ooo 0 6 +oo 0 5 o+o 0 5 +oo 0 7 oo+ 0 7 +oo 0 9 ooo 0 9 oo+ 1 5 oo- 1 5 ooo 1 7 o-o 1 7 ooo 1 4 -oo 1 4 ooo 1 6 o-o 1 6 oo- 1 8 -oo 1 8 oo- 1 9 -oo 1 9 o-o 2 5 ooo 2 7 ooo 2 6 ooo 2 4 ooo 2 8 ooo 2 9 ooo 3 9 --o 3 8 -o- 3 4 -oo 3 6 o-- 3 7 o-o 3 5 oo-,-0.9894844052880861,Rb2 Ag1 Mo1 Br6\n1.0\n   0.0000000000000009    5.5019527420252281    5.5019527420252281\n   5.5019527420252281    0.0000000000000000    5.5019527420252281\n   5.5019527420252290    5.5019527420252281    0.0000000000000007\nRb Ag Mo Br\n2 1 1 6\ndirect\n   0.2500000000000000    0.2500000000000000    0.2499999999999999 Rb\n   0.7500000000000000    0.7500000000000000    0.7500000000000000 Rb\n   0.0000000000000000    0.0000000000000000    0.0000000000000000 Ag\n   0.5000000000000000    0.5000000000000000    0.4999999999999999 Mo\n   0.7369643293596353    0.2630356706403646    0.7369643293596352 Br\n   0.2630356706403647    0.7369643293596353    0.7369643293596352 Br\n   0.2630356706403647    0.7369643293596354    0.2630356706403646 Br\n   0.7369643293596353    0.7369643293596353    0.2630356706403646 Br\n   0.2630356706403647    0.2630356706403648    0.7369643293596352 Br\n   0.7369643293596353    0.2630356706403648    0.2630356706403647 Br\n,0
-1.0,K K Na Na Na As Pd Pd I I I I I I I I I I 0 15 o-o 0 17 ooo 0 8 ooo 0 16 ooo 0 17 +oo 0 11 +oo 0 9 +oo 1 12 ooo 1 9 ooo 1 14 -oo 1 17 o+o 1 14 -oo 1 16 ooo 1 17 ooo 2 10 ooo 2 16 -oo 2 15 ooo 2 14 -oo 2 10 ooo 2 8 -oo 2 16 ooo 3 13 oo+ 3 9 ooo 3 12 ooo 3 11 +oo 3 17 ooo 3 15 +oo 3 8 ooo 4 15 ooo 4 13 +oo 4 17 ooo 4 14 ooo 5 16 o-o 5 9 o-o 5 13 ooo 5 11 ooo 6 17 --o 6 14 -o- 6 17 ooo 6 13 ooo 7 16 --o 7 10 -oo 7 12 o-o 7 15 ooo,-0.7927637673253037,K2 Na3 As1 Pd2 I10\n1.0\n   9.1929926712702539    0.0000000000000000    0.0000000000000000\n  -1.0213969758990566   10.0740953548774002    0.0000000000000000\n  -2.0320111244923149   -1.0799207392152379   10.6549466482106396\nK Na As Pd I\n2 3 1 2 10\ndirect\n   0.0487355836629973    0.0187903078010406    0.0140294898307998 K\n   0.2342582751812479    0.6537083694512815    0.7316233293873701 K\n   0.9633600879965946    0.5948253934755481    0.2253219487246524 Na\n   0.5745620978502698    0.3977746407924604    0.3291035265086556 Na\n   0.5329606166842495    0.2446572090183674    0.8157972657989395 Na\n   0.5122328514581975    0.7406883025646671    0.0689877457023135 As\n   0.2238948934236991    0.4232237494637580    0.4510000395611594 Pd\n   0.6705185505294617    0.9206367945514504    0.1919033548216391 Pd\n   0.2323615275348742    0.2983847228506170    0.2372724924155548 I\n   0.7106399019125296    0.3740505782569657    0.0843236156128769 I\n   0.2137503635775639    0.3019371113902423    0.8386847937923938 I\n   0.9495384512003787    0.9857603186468030    0.2953784993604827 I\n   0.5911250443364606    0.9715235048028220    0.9468933176145348 I\n   0.6550032526419141    0.7072540275666532    0.3241534541854411 I\n   0.4850031213321588    0.4523278475817566    0.5960437077914132 I\n   0.9605320700335412    0.4649472128953604    0.4819891811109395 I\n   0.2191890058685866    0.6983587609806408    0.0755464855506496 I\n   0.1824693668027616    0.0087181432004081    0.7341966492885899 I\n,1
-1.0,Cr In S S 0 2 oo+ 0 2 o+o 0 2 +oo 0 3 ooo 1 3 --o 1 3 -o- 1 3 o-- 1 2 ooo,-0.4445299635644533,Cr1 In1 S2\n1.0\n   7.2590262477960303   -1.9831677148862685    0.0000000000000000\n   7.2590262477960303    1.9831677148862685    0.0000000000000000\n   6.7172243516310539    0.0000000000000000    3.3919482987530496\nCr In S\n1 1 2\ndirect\n   0.9989217161881625    0.9989217161881625    0.9989217161881624 Cr\n   0.5057670382385545    0.5057670382385546    0.5057670382385545 In\n   0.6420137519068472    0.6420137519068473    0.6420137519068472 S\n   0.1051372735638886    0.1051372735638886    0.1051372735638886 S\n,1
-1.0,Rb Rb Mg Se Se Se Se 0 4 oo- 0 4 o+o 0 4 +oo 0 3 +++ 0 3 oo- 0 3 ooo 0 6 oo- 0 6 ooo 1 6 --- 1 5 -oo 1 5 o-o 1 5 oo+ 1 5 ooo 1 3 oo- 1 6 +oo 1 3 oo- 2 4 --o 2 4 ooo 3 3 ooo,-0.8542976485226005,Rb2 Mg1 Se4\n1.0\n   5.8071922450995714    0.0000000000000000    0.0000000000000000\n   1.6944634534567056    5.7318924108552443    0.0000000000000000\n   1.1118977928885234    1.3089494127018908    7.7055293929234274\nRb Mg Se\n2 1 4\ndirect\n   0.7448054258072510    0.1107891665042802    0.1007293517427101 Rb\n   0.1076038760350330    0.4999878825458179    0.3364752531432405 Rb\n   0.2863700704586046    0.7699234576137368    0.7807401974013555 Mg\n   0.9152495253540260    0.6145248930877780    0.9098966581746862 Se\n   0.2542924818089004    0.2836486312376542    0.8535363286239331 Se\n   0.0465697165510474    0.9707571019720898    0.5117196769080421 Se\n   0.4709246580509331    0.7848407808803066    0.4546680738042265 Se\n,1
-1.0,Sr Sr Co Co N 0 4 ooo 0 4 o+o 0 4 +oo 0 3 ++o 0 3 ooo 0 3 oo+ 0 3 +oo 0 3 +o+ 0 2 oo+ 1 4 oo- 1 4 ++o 1 4 ooo 1 3 o+o 1 3 ooo 1 3 o-o 1 3 ooo 1 2 -o- 1 2 -oo 2 4 oo- 2 4 ooo 2 3 o+- 2 3 o+- 2 3 o+- 2 3 ++- 2 2 o+o 2 4 ooo,-0.21036009572599976,Sr2 Co2 N1\n1.0\n   3.9972499285387464    0.0000000000000000    0.0000000000000000\n   0.8338554477502520    4.6564384819894045    0.0000000000000000\n   0.9787199241756043    2.1682604518283091    6.0421056011825751\nSr Co N\n2 2 1\ndirect\n   0.9149299762590272    0.0522086487208696    0.1281929275516736 Sr\n   0.5396161852881589    0.7820043199491686    0.6835194350672691 Sr\n   0.4599142216773154    0.4891282157906163    0.3426332469304588 Co\n   0.9693028020881108    0.3393124598924186    0.4837632214386921 Co\n   0.3040699171373302    0.1789402444026502    0.3338122778185698 N\n,1
-1.0,Cs Cs Cs Cs Co Co I I I I I I I I 0 8 -oo 0 8 -o+ 0 6 ooo 0 6 ooo 0 12 -oo 0 12 ooo 0 11 oo+ 0 9 o++ 0 13 ooo 0 5 ooo 0 10 ooo 0 12 oo+ 1 9 o-o 1 9 o-o 1 7 ooo 1 7 ooo 1 13 ooo 1 11 oo+ 1 8 +oo 1 10 ooo 1 4 +-o 1 12 +oo 1 11 +oo 1 5 +oo 2 6 ooo 2 11 ooo 2 13 o+o 2 13 oo- 2 12 ooo 2 10 ooo 2 5 o+o 2 4 o+o 2 9 -oo 2 7 -+o 2 11 oo- 2 8 ooo 2 3 o+o 3 13 -oo 3 10 ooo 3 4 ooo 3 9 ooo 3 6 o+o 3 7 -+o 3 7 o+o 3 12 oo+ 3 5 ooo 3 8 ooo 3 9 ooo 3 5 ooo 3 4 ooo 4 11 oo- 4 13 +oo 4 7 o+- 4 12 o+o 4 6 ++o 5 10 o+- 5 9 ++- 5 6 ooo 5 12 oo+ 5 13 ooo,-0.6159677266029577,Cs4 Co2 I8\n1.0\n   6.4339710885557801    0.0000000000000000    0.0000000000000000\n  -0.9111417105990363   13.9765986809484630    0.0000000000000000\n  -1.4248703358086425   -5.4538705122289546   21.5491142809796514\nCs Co I\n4 2 8\ndirect\n   0.1528458559389008    0.9347469374154294    0.9360084316670501 Cs\n   0.0177066859035965    0.0152314481238700    0.1914642330640843 Cs\n   0.3366473908743389    0.0065015456197406    0.6245713125630491 Cs\n   0.1422515728953437    0.7196707115175039    0.7193759030059255 Cs\n   0.0503805806739819    0.8109712538663884    0.4653310563211779 Co\n   0.2562932555916113    0.6784581820947468    0.4137248362049732 Co\n   0.8850114530102735    0.6957656257019679    0.3593363512271357 I\n   0.0413755393821337    0.4448441010929597    0.2459665404276708 I\n   0.7821689435388611    0.9290432442084106    0.5138463503085330 I\n   0.7462114360314893    0.2661016714428108    0.2280784891658531 I\n   0.6876376504929663    0.0919987381050232    0.9631172485523987 I\n   0.5129249395854750    0.8731163916534868    0.2291732271584612 I\n   0.2273179016451475    0.7037111680696958    0.5392736469631758 I\n   0.3186616977368468    0.4978036402123892    0.3679300056158789 I\n,1
-1.0,K K Ce Cu Te Te Te Te 0 6 --- 0 6 ooo 0 2 --- 0 2 o-o 0 2 oo- 0 0 ++o 0 4 ooo 0 4 --o 0 3 o-o 0 3 ooo 0 0 +oo 0 0 oo+ 0 1 ooo 0 1 +++ 1 3 --- 1 3 --o 1 2 -oo 1 2 --- 1 2 oo- 1 2 ooo 1 7 -oo 1 7 o+o 1 7 -oo 1 5 ooo 1 5 --o 1 5 ooo 1 6 -oo 1 6 --o 1 4 ooo 2 4 ooo 2 5 o-o 2 7 +oo 2 6 -oo 2 6 --o 2 3 ooo 3 4 --o 3 7 ooo 3 7 ooo 3 5 ooo 3 5 o-o,-0.8567879049859619,K2 Ce1 Cu1 Te4\n1.0\n   5.3956988247656259    0.0000000000000000    0.0000000000000000\n   0.2618719134770389    6.5811150815880879    0.0000000000000000\n   0.3132234248645993    0.0382622584130849   10.4787525150882743\nK Ce Cu Te\n2 1 1 4\ndirect\n   0.1521467476248648    0.7813180502727044    0.9257949674628091 K\n   0.9909660633128187    0.8422636192905898    0.4625620000334289 K\n   0.4228251889026535    0.2812786962731433    0.2103418859043272 Ce\n   0.5155397969128478    0.5553630310724942    0.4147929595809522 Cu\n   0.5004166195464743    0.7857581527961851    0.2220922400268207 Te\n   0.9313400134710005    0.2821817871906266    0.0410865411287636 Te\n   0.3865449463020794    0.2781237488189076    0.9055491177850766 Te\n   0.9098211137110890    0.3426395793118117    0.3788462335128427 Te\n,1
-1.0,Tm Tm In Sb Ag Ag Ag Ag S S S S S S 0 9 ooo 0 11 oo- 0 10 +o- 0 12 +oo 0 7 ooo 0 13 o+o 1 8 o-o 1 6 -oo 1 10 -oo 1 6 o-o 1 7 ooo 1 13 oo- 2 9 oo+ 2 12 oo+ 2 8 ooo 2 6 ooo 2 12 ooo 3 7 ooo 3 12 o+o 3 11 oo- 3 9 ooo 3 13 +oo 4 11 ooo 4 8 ooo 4 12 ooo 4 8 o+o 5 13 ooo 5 7 ooo 5 10 ooo 5 9 ooo 6 8 o-o 6 13 ooo 6 10 o-o 6 11 ooo 7 9 o-o 7 12 -oo 7 11 ooo 7 13 ooo,-0.7004587166364394,Tm2 In1 Ag4 Sb1 S6\n1.0\n   4.1577441965926649    0.0000000000000000    0.0000000000000000\n   1.3150974595209444    7.8503764741896847    0.0000000000000000\n   1.5921417686814854    1.1089633127037126   10.4393341037511540\nTm In Ag Sb S\n2 1 4 1 6\ndirect\n   0.9792203036448542    0.8680871292618932    0.0582055447306384 Tm\n   0.4439642828084097    0.3121138289381712    0.7774373597153910 Tm\n   0.8663341604911646    0.1909976158359811    0.2490188554445667 In\n   0.3202697806322264    0.2036296356884676    0.4271289506212446 Ag\n   0.3014095166762412    0.4185036119643826    0.1877071678736769 Ag\n   0.6953932678721251    0.8712823010563726    0.5254128477120877 Ag\n   0.1005493452854113    0.8622405618179532    0.7264311070929119 Ag\n   0.1276399178547642    0.5774846948365291    0.4154921264905094 Sb\n   0.4609361421497172    0.7136670446053808    0.1985548012496929 S\n   0.8641473836197311    0.4159428531041346    0.8953636972373373 S\n   0.1093894535523617    0.6386920745631224    0.9010874873601039 S\n   0.4355425975126496    0.0673066575904434    0.9795500992453912 S\n   0.4799922042056460    0.5879448759688140    0.5881668802952370 S\n   0.8718070894311761    0.1256636293080899    0.6070714317769114 S\n,1
-1.0,Rb Rb Tl Ag I I I I I I 0 8 ooo 0 8 o+o 0 4 oo+ 0 4 o+o 0 6 ooo 0 6 +oo 0 5 o+o 0 5 +oo 0 7 oo+ 0 7 +oo 0 9 ooo 0 9 oo+ 1 5 oo- 1 5 ooo 1 7 o-o 1 7 ooo 1 4 -oo 1 4 ooo 1 6 o-o 1 6 oo- 1 8 -oo 1 8 oo- 1 9 -oo 1 9 o-o 2 5 ooo 2 7 ooo 2 6 ooo 2 4 ooo 2 8 ooo 2 9 ooo 3 9 --o 3 8 -o- 3 4 -oo 3 6 o-- 3 7 o-o 3 5 oo-,-0.7792754590068359,Rb2 Tl1 Ag1 I6\n1.0\n   0.0000000000000010    6.0756776717184211    6.0756776717184211\n   6.0756776717184211    0.0000000000000000    6.0756776717184211\n   6.0756776717184220    6.0756776717184211    0.0000000000000007\nRb Tl Ag I\n2 1 1 6\ndirect\n   0.2500000000000001    0.2500000000000001    0.2499999999999999 Rb\n   0.7500000000000001    0.7500000000000001    0.7499999999999998 Rb\n   0.5000000000000001    0.5000000000000001    0.4999999999999998 Tl\n   0.0000000000000000    0.0000000000000000    0.0000000000000000 Ag\n   0.2384513488893990    0.7615486511106011    0.2384513488893989 I\n   0.7615486511106013    0.7615486511106013    0.2384513488893987 I\n   0.7615486511106012    0.2384513488893989    0.7615486511106012 I\n   0.7615486511106011    0.2384513488893989    0.2384513488893989 I\n   0.2384513488893987    0.7615486511106009    0.7615486511106012 I\n   0.2384513488893990    0.2384513488893990    0.7615486511106010 I\n,1
-1.0,Al As Se Se 0 2 oo- 0 2 +o- 0 2 ooo 0 3 +oo 1 3 ooo 1 3 o+o 1 3 o++ 1 2 ooo,-0.40750296116332985,Al1 As1 Se2\n1.0\n   3.8477496636751432    0.0000000000000000    0.0000000000000000\n  -0.6215377568163958    5.6032366146194628    0.0000000000000000\n  -1.8192485049811127   -0.3349679858156939    5.8779921210655672\nAl As Se\n1 1 2\ndirect\n   0.0210528853607835    0.8853111658419635    0.0119428436222856 Al\n   0.4593217560562595    0.1123429394870184    0.8127932481832493 As\n   0.4446747987046261    0.6209611641829398    0.9464336032085087 Se\n   0.1841556595806913    0.9962315730829091    0.4322772519299033 Se\n,1
-1.0,In Ag O O 0 2 o-o 0 2 -oo 0 2 oo- 0 3 --o 0 3 o-- 0 3 -o- 1 3 o-o 1 3 -oo 1 3 oo- 1 2 oo+ 1 2 +oo 1 2 o+o,-0.9841788211767581,In1 Ag1 O2\n1.0\n   6.0247401242303349   -1.6399745891115665    0.0000000000000000\n   6.0247401242303349    1.6399745891115665    0.0000000000000000\n   5.5783280637142418    0.0000000000000000    2.8052212445760358\nIn Ag O\n1 1 2\ndirect\n   0.0000000000000001    0.0000000000000000    0.0000000000000000 In\n   0.5000000000000000    0.5000000000000001    0.5000000000000000 Ag\n   0.2684758156737942    0.2684758156737942    0.2684758156737942 O\n   0.7315241843262057    0.7315241843262058    0.7315241843262059 O\n,1
-1.0,Na Na Bi Bi S S S S 0 7 o-o 0 6 +oo 0 5 ooo 0 4 ooo 1 4 o-o 1 4 -oo 1 4 ooo 1 6 ooo 2 5 -oo 2 6 o+o 2 7 ooo 2 7 ooo 3 6 ooo 3 5 ooo 3 4 oo+ 3 7 o-o,-0.6433551812731935,Na2 Bi2 S4\n1.0\n   5.5185224210033921    0.0000000000000000    0.0000000000000000\n  -1.7372821601798276    6.6833478239321469    0.0000000000000000\n  -2.5718394917684333   -2.0261356027881292    7.1585671272080003\nNa Bi S\n2 2 4\ndirect\n   0.0259937306384991    0.9803725726052932    0.9928615702018280 Na\n   0.4049470310680922    0.1776240198993073    0.6916242013244994 Na\n   0.8770840004763575    0.3603389532415372    0.3659223483361406 Bi\n   0.5240564694870181    0.8705024284991090    0.3090695886339051 Bi\n   0.8601247635769590    0.1031244802521496    0.6314437794245519 S\n   0.9348344998120698    0.7297028591060956    0.2621304891999848 S\n   0.5899285382209115    0.0807040468849671    0.0454227527965697 S\n   0.3605384604351032    0.2582913484744759    0.3575751229537939 S\n,1
-3.0,Na Sm O O 0 2 o-o 0 2 -oo 0 2 oo- 0 3 --o 0 3 o-- 0 3 -o- 1 3 o-o 1 3 -oo 1 3 oo- 1 2 oo+ 1 2 +oo 1 2 o+o,-2.701016733881836,Na1 Sm1 O2\n1.0\n   5.7265438349562698   -1.7656071357893286    0.0000000000000000\n   5.7265438349562698    1.7656071357893286    0.0000000000000000\n   5.1821721078211356    0.0000000000000000    3.0092798302162773\nNa Sm O\n1 1 2\ndirect\n   0.0000000000000000    0.0000000000000000    0.0000000000000000 Na\n   0.5000000000000000    0.4999999999999996    0.5000000000000000 Sm\n   0.2383237995659353    0.2383237995659355    0.2383237995659355 O\n   0.7616762004340647    0.7616762004340647    0.7616762004340647 O\n,0
-3.0,Cs Cs Al In F F F F F F 0 8 oo- 0 8 ooo 0 6 o-o 0 6 ooo 0 4 -oo 0 4 ooo 0 5 o-o 0 5 oo- 0 7 -oo 0 7 oo- 0 9 -oo 0 9 o-o 1 7 ooo 1 7 o+o 1 4 oo+ 1 4 o+o 1 5 ooo 1 5 +oo 1 8 o+o 1 8 +oo 1 6 oo+ 1 6 +oo 1 9 ooo 1 9 oo+ 2 8 ooo 2 6 ooo 2 5 ooo 2 4 ooo 2 7 ooo 2 9 ooo 3 9 --o 3 7 -o- 3 4 -oo 3 5 o-- 3 6 o-o 3 8 oo-,-3.1750537597208357,Cs2 Al1 In1 F6\n1.0\n   4.5894322427185896    4.5888792261421605    0.0000000000000000\n   4.5894322427185896   -4.5888792261421605    0.0000000000000000\n   0.0000000000000000   -4.4746186319855878   -4.5880677479209995\nCs Al In F\n2 1 1 6\ndirect\n   0.0000822069403383    0.5061661197885876    0.9996373634313055 Cs\n   0.4938338802114124    0.9999177930596617    0.9996373634313055 Cs\n   0.7519466463403102    0.2480533536596898    0.5003226086847938 Al\n   0.2567471260199228    0.7432528739800772    0.5007918996417067 In\n   0.9469248492411997    0.0530751507588004    0.9015298508336452 F\n   0.5520171757533374    0.4479828242466626    0.0984705568234612 F\n   0.5487008300109123    0.0498923081631580    0.4999099627748532 F\n   0.9501076918368420    0.4512991699890876    0.4999099627748532 F\n   0.9475176204908130    0.0524823795091870    0.4927175929663663 F\n   0.5521899947604154    0.4478100052395846    0.5060980814247543 F\n,0
-3.0,Ba Eu Tb W O O O O O O 0 5 ooo 0 5 o+o 0 7 ooo 0 6 ooo 0 9 oo+ 0 9 oo+ 0 4 o+o 0 4 +oo 0 8 oo+ 0 8 +oo 0 6 ooo 0 6 oo+ 1 4 oo- 1 4 ooo 1 7 o-o 1 7 ooo 1 9 -oo 1 9 ooo 1 5 o-o 1 5 oo- 1 8 -oo 1 8 oo- 1 6 -oo 1 6 o-o 2 5 ooo 2 7 ooo 2 9 ooo 2 4 ooo 2 8 ooo 2 6 ooo 3 6 --o 3 8 -o- 3 4 -oo 3 9 o-- 3 7 o-o 3 5 oo-,-2.142924436229818,Ba1 Tb1 Eu1 W1 O6\n1.0\n   3.5069535031546182    0.0000000000000000    0.0000000000000000\n  -1.7419832375318391    6.3895433515302384    0.0000000000000000\n  -0.0518157603656637   -1.3732574371652955    6.8787541504954435\nBa Tb Eu W O\n1 1 1 1 6\ndirect\n   0.2499555536367934    0.0173658070363956    0.0902281912082740 Ba\n   0.6147966834508318    0.5547614338461146    0.3456107412732105 Tb\n   0.0468870725852967    0.4745376067623768    0.8463635741406873 Eu\n   0.2892033363085323    0.0203972255899245    0.5889316674044700 W\n   0.1723759644572874    0.7126488572976395    0.5843800104556159 O\n   0.4450896157707260    0.3175210599796943    0.5745738490061427 O\n   0.8366648570878614    0.9385538524839434    0.3987660177743506 O\n   0.6268627723306979    0.6645069009016427    0.0274096592312030 O\n   0.0035597270855545    0.3648765864392657    0.1992708419044242 O\n   0.7309756547855873    0.0849576165565193    0.7862263690961986 O\n,1
