epoch,step,train_loss,valid_loss,valid_rate,learning_rate
0,13,419.3019714355469,409.4733668736049,0.0,0.0019399999999999999
1,13,358.5819396972656,348.71348353794644,0.0,0.0018817999999999999
2,13,261.1840515136719,262.3243201119559,0.0,0.0018253459999999998
3,13,241.95864868164062,232.7533460344587,0.0,0.0017705856199999998
4,13,223.0813446044922,219.22291455950057,0.0,0.0017174680513999997
5,13,206.28009033203125,207.74714006696428,0.0,0.0016659440098579998
6,13,190.9173583984375,199.26762499128068,3.125,0.0016159656895622597
7,13,193.13536071777344,194.39552089146204,0.0,0.0015674867188753918
8,13,199.94044494628906,191.99018750871932,9.375,0.00152046211730913
9,13,170.27880859375,188.9433114188058,0.0,0.001474848253789856
10,13,182.96580505371094,186.40259987967355,1.5625,0.0014306028061761603
11,13,182.0800323486328,184.9420645577567,1.5625,0.0013876847219908754
12,13,175.7872772216797,182.71285356794084,1.5625,0.001346054180331149
13,13,167.5761260986328,181.69845690046037,7.8125,0.0013056725549212146
14,13,175.73455810546875,179.28250122070312,6.25,0.0012665023782735781
15,13,180.51202392578125,178.837406703404,10.9375,0.0012285073069253707
16,13,173.98333740234375,177.04697636195593,9.375,0.0011916520877176095
17,13,166.9529571533203,175.69587053571428,1.5625,0.0011559025250860813
18,13,181.0572967529297,176.2608686174665,10.9375,0.0011212254493334988
19,13,168.8485107421875,174.1627676827567,9.375,0.0010875886858534938
20,13,172.18971252441406,172.39901842389787,12.5,0.001054961025277889
21,13,167.84315490722656,171.27928052629744,9.375,0.0010233121945195523
22,13,173.3745880126953,170.65590449741907,14.0625,0.0009926128286839658
23,13,158.87295532226562,169.78092520577567,17.1875,0.0009628344438234467
24,13,174.47244262695312,168.62422943115234,23.4375,0.0009339494105087433
25,13,168.4339141845703,168.9899400983538,7.8125,0.000905930928193481
26,13,161.90968322753906,167.40219225202287,18.75,0.0008787530003476764
27,13,165.7503204345703,166.51407841273718,14.0625,0.0008523904103372461
28,13,160.23097229003906,165.992064339774,10.9375,0.0008268186980271287
29,13,168.6584014892578,165.37272753034318,9.375,0.0008020141370863148
30,13,154.22235107421875,163.75309317452567,10.9375,0.0007779537129737254
31,13,163.1830291748047,163.32976531982422,17.1875,0.0007546151015845136
32,13,155.75071716308594,162.13031332833427,4.6875,0.0007319766485369782
33,13,143.13372802734375,162.08676038469588,20.3125,0.0007100173490808689
34,13,159.3199462890625,160.94118717738561,17.1875,0.0006887168286084428
35,13,154.5360107421875,160.36383928571428,21.875,0.0006680553237501895
36,13,156.4983673095703,159.84212493896484,20.3125,0.0006480136640376838
37,13,149.11459350585938,159.94377899169922,12.5,0.0006285732541165533
38,13,144.20640563964844,158.75911167689733,20.3125,0.0006097160564930567
39,13,149.7406005859375,158.1594968523298,14.0625,0.000591424574798265
40,13,151.20208740234375,157.64820316859655,21.875,0.0005736818375543171
41,13,153.31948852539062,157.48825073242188,17.1875,0.0005564713824276875
42,13,144.2894287109375,157.26434217180525,25.0,0.0005397772409548568
43,13,151.1250762939453,156.1195776803153,23.4375,0.0005235839237262111
44,13,146.45016479492188,155.89427947998047,15.625,0.0005078764060144248
45,13,149.02206420898438,155.39597756522042,25.0,0.000492640113833992
46,13,153.28787231445312,155.37994057791573,18.75,0.0004778609104189722
47,13,145.44583129882812,154.73008619035994,15.625,0.000463525083106403
48,13,149.09959411621094,154.64958844866072,34.375,0.0004496193306132109
49,13,141.6818084716797,154.46101924351282,28.125,0.0004361307506948146
50,13,147.1151580810547,154.92385319301061,23.4375,0.00042304682817397016
51,13,140.8615264892578,154.00697326660156,20.3125,0.00041035542332875107
52,13,144.2034912109375,153.36808340890067,15.625,0.0003980447606288885
53,13,144.87001037597656,152.96158926827567,26.5625,0.0003861034178100218
54,13,143.25506591796875,153.3895993913923,21.875,0.00037452031527572115
55,13,145.00975036621094,153.21675327845983,25.0,0.00036328470581744953
56,13,143.1891326904297,152.85321044921875,29.6875,0.000352386164642926
57,13,135.0765838623047,152.54507555280412,21.875,0.00034181457970363825
58,13,144.96942138671875,152.46804700578963,20.3125,0.0003315601423125291
59,13,137.3778839111328,152.08283887590682,21.875,0.00032161333804315326
60,13,146.00637817382812,151.9248766217913,25.0,0.00031196493790185863
61,13,131.4886474609375,151.58724103655135,26.5625,0.00030260598976480284
62,13,129.22195434570312,151.38002014160156,18.75,0.00029352781007185874
63,13,135.6474151611328,151.46312713623047,31.25,0.000284721975769703
64,13,132.12423706054688,151.15756007603235,26.5625,0.0002761803164966119
65,13,137.96583557128906,151.73339189801897,20.3125,0.00026789490700171356
66,13,136.20127868652344,151.0371039254325,25.0,0.00025985805979166215
67,13,128.73818969726562,150.89221845354353,28.125,0.0002520623179979123
68,13,130.07089233398438,150.71924918038505,28.125,0.0002445004484579749
69,13,126.31258392333984,150.56275177001953,21.875,0.00023716543500423563
70,13,128.514404296875,150.62791224888392,26.5625,0.00023005047195410856
71,13,130.1912384033203,150.47919246128626,23.4375,0.0002231489577954853
72,13,128.8437042236328,150.55988420758928,26.5625,0.00021645448906162075
73,13,129.3166961669922,150.52584075927734,45.3125,0.00020996085438977212
74,13,137.08828735351562,150.6269476754325,26.5625,0.00020366202875807894
75,13,134.46104431152344,150.40071759905135,25.0,0.00019755216789533656
76,13,130.17330932617188,150.36767360142298,23.4375,0.00019162560285847645
77,13,114.4501953125,150.26630074637276,32.8125,0.00018587683477272216
78,13,127.21733856201172,150.11959184919084,26.5625,0.0001803005297295405
79,13,126.70439147949219,150.1334500994001,18.75,0.00017489151383765427
80,13,125.47528839111328,150.39881569998605,46.875,0.00016964476842252463
81,13,130.33718872070312,150.13970620291573,29.6875,0.0001645554253698489
82,13,120.05209350585938,150.3081501552037,23.4375,0.00015961876260875342
83,13,124.35657501220703,150.0539038521903,26.5625,0.0001548301997304908
84,13,123.07624053955078,150.39790780203683,29.6875,0.00015018529373857608
85,13,119.9039077758789,150.4861123221261,32.8125,0.00014567973492641878
86,13,119.63199615478516,150.4184624808175,25.0,0.0001413093428786262
87,13,121.46701049804688,150.3264617919922,29.6875,0.00013707006259226743
88,13,112.38551330566406,150.37335750034876,25.0,0.0001329579607144994
89,13,126.37615203857422,150.27587890625,37.5,0.0001289692218930644
90,13,127.69190216064453,150.47432381766183,32.8125,0.00012510014523627248
91,13,133.5157928466797,150.6775883265904,28.125,0.0001213471408791843
92,13,116.19654083251953,150.24635641915458,29.6875,0.00011770672665280877
93,13,124.73824310302734,150.49021693638392,15.625,0.0001141755248532245
94,13,127.49315643310547,150.42981719970703,31.25,0.00011075025910762776
95,13,122.63549041748047,150.57272447858537,29.6875,0.00010742775133439893
96,13,122.82893371582031,150.55540684291296,26.5625,0.00010420491879436696
97,13,116.33943176269531,150.73108564104353,28.125,0.00010107877123053595
98,13,118.48648071289062,150.78238351004464,28.125,9.804640809361987e-05
99,13,124.96443176269531,150.67034040178572,26.5625,9.510501585081127e-05
