eform,SLICES
-3.0,K K K K K K Er Er O O O O O O F F F F 0 15 oo- 0 10 ooo 0 17 oo- 0 8 ooo 0 13 oo- 0 16 ooo 1 9 -oo 1 11 -oo 1 14 ooo 1 12 ooo 1 17 ooo 1 15 ooo 2 8 ooo 2 11 ooo 2 14 o+o 2 13 ooo 2 16 ooo 2 10 ooo 3 12 ooo 3 15 oo+ 3 9 ooo 3 17 +oo 3 8 o-o 3 9 ooo 4 11 ooo 4 17 ooo 4 12 ooo 4 15 +oo 4 10 +oo 4 16 ++o 5 13 --o 5 14 -o- 5 16 -oo 5 8 o-- 5 9 o-o 5 11 oo- 6 8 o-o 6 9 ooo 6 12 ooo 6 14 o-- 6 13 oo- 6 10 ooo 7 15 -oo 7 11 -oo 7 14 ooo 7 12 ooo
-3.0,Ba Ba Sr Sr Nd Nd Sb Sb O O O O O O O O O O O O 0 16 o-o 0 16 ooo 0 17 ooo 0 12 oo- 0 9 ooo 0 14 ooo 0 11 ooo 0 10 ooo 0 15 ooo 0 18 ooo 1 13 ooo 1 8 ooo 1 9 ooo 1 12 ooo 1 11 ooo 1 14 oo+ 1 18 o+o 1 19 ooo 1 15 ooo 1 10 oo+ 2 14 o-o 2 11 o-o 2 16 ooo 2 8 +-o 2 17 +oo 2 13 +oo 3 19 -oo 3 15 -oo 3 10 -+o 3 18 ooo 3 9 o+o 3 12 o+o 4 14 -oo 4 19 -o- 4 10 -oo 4 8 oo- 4 17 ooo 4 12 oo- 5 16 o-o 5 9 o-o 5 13 ooo 5 15 o-o 5 11 ooo 5 18 ooo 6 12 o-- 6 16 o-o 6 8 oo- 6 10 o-o 6 18 oo- 6 14 ooo 7 11 -oo 7 15 -oo 7 19 -oo 7 17 ooo 7 13 ooo 7 9 ooo
-3.0,Li Li Li Li V V F F F F F F F F F F F F 0 12 -oo 0 17 -oo 0 8 ooo 0 11 ooo 0 15 ooo 1 16 --o 1 7 -oo 1 10 o-o 1 9 ooo 1 6 ooo 2 11 ooo 2 13 ooo 2 17 ooo 2 16 ooo 2 6 ooo 2 15 ooo 3 8 --o 3 14 -o- 3 9 -oo 3 12 o-- 3 7 o-o 3 10 oo- 4 11 ooo 4 13 ooo 4 6 ooo 4 17 ooo 4 16 ooo 4 14 ooo 5 9 o-o 5 12 ooo 5 8 ooo 5 10 o-o 5 7 o-o 5 15 ooo
-3.0,Ba Ba Ba Ba Nb Nb Co Co O O O O O O O O O O O O 0 16 o-o 0 16 +-o 0 17 o-o 0 12 o-o 0 12 ooo 0 10 ooo 0 14 +-o 0 11 +oo 0 19 o-o 0 19 ooo 0 18 +-o 0 9 +oo 1 19 -oo 1 15 -+o 1 15 ooo 1 17 -oo 1 18 -+o 1 18 o+o 1 11 -oo 1 11 -+o 1 14 ooo 1 10 o+o 1 10 o+o 1 13 ooo 2 13 o-o 2 13 ooo 2 13 +oo 2 17 ooo 2 17 +oo 2 11 ooo 2 19 ooo 2 9 ooo 2 9 +oo 2 9 +oo 2 15 ooo 2 18 ooo 3 18 -oo 3 18 ooo 3 12 -oo 3 12 ooo 3 8 -oo 3 8 ooo 3 8 ooo 3 6 ooo 3 6 o+o 3 6 ooo 3 7 ooo 3 7 ooo 4 10 -oo 4 10 ooo 4 12 ooo 4 16 ooo 4 15 ooo 4 8 ooo 5 11 o-- 5 11 o-o 5 9 oo- 5 13 ooo 5 14 +-o 5 19 +o- 6 8 -oo 6 18 -+o 6 16 ooo 6 14 ooo 6 19 o+o 6 17 o++ 7 15 ooo 7 9 ooo 7 9 +oo 7 16 ooo 7 12 +oo 7 10 ooo
-3.0,Sr Sr Sr Sr Ho Ho Bi Bi O O O O O O O O O O O O 0 17 o-o 0 13 o-o 0 8 ooo 0 9 ooo 0 14 +-o 0 11 +oo 0 10 +oo 0 15 +o+ 1 10 ooo 1 15 ooo 1 13 ooo 1 8 ooo 1 9 ooo 1 12 ooo 1 18 ooo 1 11 ooo 2 16 ooo 2 11 ooo 2 12 ooo 2 14 ooo 2 8 ooo 2 15 ooo 2 17 ooo 2 19 ooo 3 9 -oo 3 14 -o+ 3 19 -+o 3 10 ooo 3 13 o+o 3 8 o+o 3 18 o+o 3 12 o+o 4 12 o-- 4 16 o-o 4 8 oo- 4 10 o-o 4 18 oo- 4 14 ooo 5 11 -oo 5 15 -oo 5 19 -oo 5 17 ooo 5 13 ooo 5 9 ooo 6 14 o-o 6 19 o-o 6 10 ooo 6 8 o-o 6 17 ooo 6 12 ooo 7 16 -oo 7 9 -o- 7 13 -oo 7 15 oo- 7 11 ooo 7 18 ooo
-3.0,Sr Sr Sr Sr La La Sb Sb O O O O O O O O O O O O 0 16 o-o 0 16 ooo 0 17 ooo 0 12 oo- 0 9 ooo 0 14 ooo 0 11 ooo 0 10 ooo 0 15 ooo 1 13 ooo 1 8 ooo 1 9 ooo 1 12 ooo 1 11 ooo 1 14 oo+ 1 18 ooo 1 18 o+o 1 19 ooo 2 10 o-o 2 15 o-o 2 14 ooo 2 11 ooo 2 16 +-o 2 8 +o- 2 17 +oo 2 13 +oo 3 19 -oo 3 15 -oo 3 10 -o+ 3 18 -+o 3 9 ooo 3 12 ooo 3 13 o+o 3 8 o+o 4 14 -oo 4 19 -o- 4 10 -oo 4 8 oo- 4 17 ooo 4 12 oo- 5 16 o-o 5 9 o-o 5 13 ooo 5 15 o-o 5 11 ooo 5 18 ooo 6 12 o-- 6 16 o-o 6 8 oo- 6 10 ooo 7 15 -oo 7 19 -oo 7 9 ooo 7 17 ooo
-3.0,Sr Sr Sr Sr Nd Nd Sb Sb O O O O O O O O O O O O 0 14 o-o 0 13 o-o 0 16 ooo 0 11 ooo 0 8 +-o 0 17 +oo 0 10 +oo 0 12 +o+ 1 19 ooo 1 15 ooo 1 10 ooo 1 18 ooo 1 9 ooo 1 12 ooo 1 17 ooo 1 8 ooo 2 18 ooo 2 10 ooo 2 12 ooo 2 8 ooo 2 16 ooo 2 14 oo+ 2 11 ooo 2 15 ooo 3 13 -oo 3 9 -o+ 3 19 -oo 3 11 -+o 3 15 ooo 3 17 ooo 3 18 o+o 3 10 o+o 4 12 o-- 4 16 o-o 4 8 oo- 4 10 o-o 4 18 oo- 4 14 ooo 5 11 -oo 5 15 -oo 5 19 -oo 5 17 ooo 5 13 ooo 5 9 ooo 6 14 o-o 6 19 o-o 6 8 ooo 6 9 o-o 6 18 ooo 6 16 ooo 7 17 -oo 7 13 -o- 7 9 -oo 7 11 oo- 7 15 ooo 7 10 oo-
-3.0,Cs Cs Rb Sc P P O O O O O O O O 0 10 --o 0 11 ooo 0 11 o-o 0 9 --o 0 9 ooo 0 0 ++o 0 5 -oo 0 5 ooo 0 5 o-o 0 5 ooo 0 0 o+o 0 13 -oo 0 13 ooo 0 13 o+o 0 7 ooo 0 7 ++o 0 6 oo+ 0 1 oo+ 1 6 -oo 1 6 o+o 1 1 ooo 1 1 ++o 1 8 -oo 1 8 ooo 1 4 o+o 1 4 ooo 1 4 ++o 1 12 ooo 1 12 ooo 1 10 o-o 1 7 +oo 1 9 ooo 2 6 o-o 2 6 +oo 2 9 ooo 2 10 o-o 2 7 ooo 2 7 +oo 2 8 oo- 2 11 ooo 2 13 o-- 2 3 o-o 2 3 o-o 2 3 +oo 2 4 oo- 2 4 ooo 3 9 -oo 3 8 ooo 3 10 o+o 3 11 ooo 4 8 ooo 4 10 ooo 4 6 ooo 4 12 ooo 5 13 -oo 5 11 ooo 5 7 ooo 5 9 ooo
-3.0,Ba Ba Sr Sr Ta Ta In In O O O O O O O O O O O O 0 10 o-o 0 10 ooo 0 16 o-o 0 16 oo- 0 15 ooo 0 14 ooo 0 11 ooo 0 17 +-o 0 17 +oo 0 8 +o- 0 13 +oo 0 9 +oo 1 19 -oo 1 19 -o+ 1 18 -+o 1 18 -+o 1 18 o+o 1 12 ooo 1 13 o+o 1 9 o+o 1 11 ooo 1 8 o+o 1 15 o+o 1 14 o+o 2 14 ooo 2 19 oo+ 2 9 ooo 2 16 ooo 2 13 ooo 2 13 ooo 2 10 ooo 2 10 o+o 2 17 ooo 2 17 o+o 2 8 ooo 2 18 o+o 3 12 o-o 3 12 o-o 3 11 ooo 3 11 o-o 3 9 ooo 3 16 ooo 3 15 ooo 3 8 ooo 3 15 ooo 3 19 +-o 3 14 +oo 3 18 +oo 4 17 -oo 4 9 -oo 4 13 -oo 4 12 ooo 4 15 ooo 4 11 ooo 5 8 o-- 5 16 o-o 5 14 oo- 5 10 ooo 5 19 oo- 5 18 ooo 6 13 o-o 6 8 ooo 6 12 ooo 6 17 o-o 6 9 ooo 6 10 ooo 7 18 -oo 7 11 -o- 7 14 -oo 7 16 oo- 7 15 ooo 7 19 oo-
-3.0,Li Li Li Li Li Li Li Li Li Li Ti Ti Ti Ti O O O O O O 0 18 ooo 0 19 ooo 0 17 ooo 0 13 ooo 1 19 ooo 1 13 ooo 1 12 ooo 1 18 ooo 2 15 ooo 2 17 ooo 2 16 ooo 2 14 ooo 3 14 oo- 3 16 ooo 3 15 +oo 3 12 +oo 4 18 ooo 4 15 ooo 4 17 o-o 4 14 ooo 5 16 -oo 5 17 o+o 5 18 ooo 5 19 ooo 6 16 ooo 6 19 ooo 6 12 ++o 6 13 ooo 7 15 -oo 7 14 o+o 7 17 ooo 7 18 oo+ 8 12 ooo 8 15 ooo 8 19 ooo 8 14 ooo 9 16 ooo 9 17 ++o 9 18 ooo 9 13 o-o 9 19 +oo 9 13 ooo 10 18 oo- 10 12 ooo 10 17 ooo 10 15 ooo 11 14 o-o 11 16 +oo 11 17 -oo 11 19 o+o
-4.0,K K K K Mn Mn F F F F F F F F 0 8 ooo 0 9 ooo 0 7 ooo 0 11 ooo 0 10 ooo 0 12 ooo 0 13 ooo 0 6 ooo 1 12 oo- 1 6 ooo 1 13 oo- 1 10 ooo 1 11 oo- 1 8 ooo 1 9 +oo 1 7 +oo 2 11 ooo 2 12 ooo 2 9 o+o 2 8 ooo 2 13 ooo 2 10 +oo 2 6 o+o 2 7 ooo 3 10 -oo 3 13 -oo 3 13 -oo 3 6 ooo 3 12 oo+ 3 8 ooo 3 9 oo+ 3 7 ooo 4 11 o-o 4 9 ooo 4 7 ooo 4 6 o-o 4 8 ooo 5 6 --o 5 8 -o- 5 10 o-o 5 9 oo- 5 12 ooo
-4.0,K K K K K K Sc Sc F F F F F F F F F F F F 0 10 oo- 0 12 oo- 0 19 ooo 0 18 ooo 0 13 ooo 0 11 ooo 1 17 -oo 1 14 -oo 1 8 -oo 1 9 ooo 1 15 ooo 1 16 ooo 2 18 -oo 2 8 -oo 2 14 -+o 2 16 ooo 2 19 oo+ 2 10 ooo 3 13 ooo 3 11 oo- 3 18 ooo 3 17 ooo 3 15 ooo 3 9 o+o 4 12 -oo 4 10 -oo 4 16 -oo 4 8 ooo 4 18 ooo 4 14 ooo 5 19 oo- 5 9 ooo 5 15 ooo 5 17 ooo 5 11 oo- 5 13 ooo 6 16 o-o 6 8 ooo 6 14 ooo 6 19 o-o 6 9 o-o 6 12 ooo 7 18 --o 7 15 --o 7 17 -o- 7 10 o-o 7 11 oo- 7 13 oo-
-4.0,Y Y Y Y Y Y Y Y O O O O O O O O O O O O 0 17 o-o 0 18 o-o 0 12 ooo 0 11 ooo 1 19 ooo 1 13 ooo 1 9 ooo 1 10 ooo 2 8 ooo 2 15 ooo 2 11 ooo 2 16 ooo 3 14 -oo 3 9 -+o 3 18 o+o 3 12 o+o 4 16 -oo 4 15 -oo 4 17 -oo 4 10 ooo 4 8 ooo 4 19 ooo 5 19 ooo 5 8 oo- 5 9 ooo 5 12 oo- 5 18 ooo 5 13 ooo 6 12 o-o 6 14 o-o 6 17 ooo 6 10 o-o 6 16 ooo 6 15 ooo 7 11 --o 7 18 -o- 7 14 -oo 7 13 o-- 7 9 o-o 7 17 oo-
-4.0,Sr Sr Sr Sr Ce Ce Zr Zr O O O O O O O O O O O O 0 8 ooo 0 15 ooo 0 12 ooo 0 13 ooo 0 9 ooo 0 9 o+o 0 17 o+o 0 18 ooo 1 9 --o 1 16 -oo 1 14 -oo 1 8 ooo 1 8 o-o 1 15 ooo 1 17 ooo 1 16 ooo 2 18 ooo 2 13 o-o 2 19 oo- 2 19 ooo 2 12 o-- 2 10 o-o 2 10 oo- 2 11 ooo 3 11 -oo 3 11 -oo 3 18 ooo 3 13 ooo 3 10 ooo 3 12 ooo 3 14 oo+ 3 15 ooo 4 10 o-o 4 14 ooo 4 17 ooo 4 19 o-o 4 8 o-o 4 16 ooo 5 15 -oo 5 9 -o- 5 18 -oo 5 12 oo- 5 11 ooo 5 13 ooo 6 17 --o 6 9 -oo 6 19 -oo 6 8 o-o 6 16 o-o 6 18 ooo 7 12 ooo 7 15 ooo 7 14 ooo 7 13 oo- 7 10 oo- 7 11 ooo
-4.0,Na Na Na Na Ho Ho Ho Ho F F F F F F F F F F F F 0 18 -oo 0 18 -oo 0 10 -oo 0 13 ooo 0 16 ooo 0 8 ooo 0 14 ooo 0 12 ooo 1 19 ooo 1 15 ooo 1 17 oo- 1 11 ooo 1 9 +oo 1 17 +oo 1 12 ++o 1 19 +oo 2 8 o-o 2 12 ooo 2 16 oo+ 2 14 ooo 2 10 o-o 2 18 o-o 2 13 ooo 2 9 ooo 3 13 ooo 3 15 ooo 3 11 o+o 3 9 o+o 3 17 oo- 3 19 ooo 3 16 ooo 3 14 o+o 4 9 --- 4 10 --o 4 19 -oo 4 18 o-- 4 12 oo- 4 8 ooo 5 17 ooo 5 8 ooo 5 12 ooo 5 10 ooo 5 9 ooo 5 16 ooo 6 11 --o 6 19 -oo 6 15 -oo 6 14 o-o 6 18 o-o 6 13 ooo 7 13 ooo 7 17 ooo 7 16 ooo 7 15 ooo 7 11 oo- 7 9 ooo
-4.0,Sm Sm Sm Sm Sm Sm Sm Sm O O O O O O O O O O O O 0 17 o-o 0 18 o-o 0 19 +-o 0 13 +oo 1 15 ooo 1 16 ooo 1 8 ooo 1 14 ooo 2 13 ooo 2 19 ooo 2 12 ooo 2 11 ooo 3 14 -oo 3 8 -+o 3 9 o+o 3 10 o+o 4 19 o-o 4 10 ooo 4 17 oo- 4 8 o-o 4 12 oo- 4 15 ooo 5 19 o-o 5 16 o-o 5 9 ooo 5 18 o-o 5 11 ooo 5 8 ooo 6 12 -oo 6 14 -o- 6 17 -oo 6 10 oo- 6 13 ooo 6 15 oo- 7 11 -oo 7 18 -oo 7 14 -oo 7 13 ooo 7 9 ooo 7 16 ooo
-4.0,Sc Sc Sc Sc O O O O F F F F 0 6 ooo 0 5 ooo 0 4 ooo 0 7 o-o 0 11 ooo 1 9 ooo 1 8 ooo 1 4 ooo 1 5 ooo 1 10 o+o 2 9 ooo 2 11 ooo 2 6 oo- 2 7 +oo 2 4 +oo 2 5 +oo 3 8 -oo 3 7 -oo 3 10 oo+ 3 6 ooo 3 11 oo+ 3 4 ooo 4 5 o-- 5 6 ooo 6 9 oo- 7 11 ooo
-4.0,Er Er Er Er Er Er Er Er O O O O O O O O O O O O 0 17 o-o 0 18 o-o 0 19 ooo 0 13 ooo 1 9 ooo 1 10 ooo 1 12 ooo 1 11 ooo 2 8 ooo 2 9 ooo 2 18 ooo 2 19 ooo 3 19 -oo 3 15 -+o 3 14 o+o 3 16 o+o 4 15 ooo 4 11 oo- 4 17 ooo 4 10 ooo 4 8 ooo 4 13 ooo 5 19 o-o 5 12 o-o 5 11 ooo 5 9 ooo 5 18 +-o 5 8 +o- 6 12 --o 6 14 -o- 6 17 -oo 6 10 o-- 6 13 o-o 6 15 oo- 7 11 -oo 7 18 -oo 7 14 -oo 7 16 ooo 7 9 ooo 7 8 ooo
-4.0,La La La La La La Sc Sc O O O O O O O O O O O O 0 17 o-o 0 12 ooo 0 16 +-o 0 9 +oo 0 14 +o- 0 11 +oo 1 15 ooo 1 8 ooo 1 13 ooo 1 18 ooo 1 10 ooo 1 19 ooo 2 19 ooo 2 12 ooo 2 16 ooo 2 8 ooo 2 15 ooo 2 11 ooo 3 18 -oo 3 19 -o+ 3 9 -+o 3 17 ooo 3 10 o+o 3 13 o+o 4 14 -oo 4 19 -o- 4 10 -oo 4 8 oo- 4 17 ooo 4 12 oo- 5 16 o-o 5 9 o-o 5 13 ooo 5 18 o-o 5 11 ooo 5 8 ooo 6 12 o-- 6 16 o-o 6 14 oo- 6 10 o-o 6 18 oo- 6 15 ooo 7 11 -oo 7 18 -oo 7 17 -oo 7 13 ooo 7 9 ooo 7 19 ooo
-4.0,K K K Sc F F F F F F 0 4 oo- 0 4 ooo 0 7 o-o 0 7 ooo 0 9 -oo 0 9 ooo 0 5 o-o 0 5 oo- 0 8 -oo 0 8 oo- 0 6 -oo 0 6 o-o 1 8 ooo 1 8 o+o 1 9 oo+ 1 9 o+o 1 5 ooo 1 5 +oo 1 4 o+o 1 4 +oo 1 7 oo+ 1 7 +oo 1 6 ooo 1 6 oo+ 2 4 ooo 2 7 ooo 2 5 ooo 2 9 ooo 2 8 ooo 2 6 ooo 3 6 --o 3 8 -o- 3 9 -oo 3 5 o-- 3 7 o-o 3 4 oo-
-4.0,Na Na Na Na Hf Hf F F F F F F F F F F F F 0 17 --o 0 9 --o 0 13 -oo 0 15 o-o 0 11 ooo 0 7 ooo 1 8 --o 1 6 -oo 1 16 o-o 1 12 ooo 1 14 ooo 1 10 ooo 2 13 ooo 2 10 ooo 2 9 ooo 2 15 ooo 2 16 ooo 2 7 ooo 3 11 ooo 3 7 oo+ 3 17 ooo 3 8 ooo 3 14 ooo 3 13 oo+ 4 12 --o 4 17 -o- 4 9 -oo 4 15 o-- 4 11 o-o 4 6 ooo 5 10 ooo 5 14 ooo 5 16 ooo 5 12 ooo 5 6 ooo 5 8 ooo
-4.0,Sr Sr Sr Sr Hf Hf Hf Hf O O O O O O O O O O O O 0 12 ooo 0 18 ooo 0 8 ooo 0 8 +oo 0 9 o-o 0 9 ooo 0 19 o-o 0 13 ooo 1 13 -oo 1 14 --o 1 11 -oo 1 11 ooo 1 10 ooo 1 10 o-o 1 17 ooo 1 15 ooo 2 9 ooo 2 9 +oo 2 8 o+o 2 8 ++o 2 18 ooo 2 18 ooo 2 16 ooo 2 10 o+o 3 14 ooo 3 15 ooo 3 15 o+o 3 12 o+o 3 19 oo- 3 17 ooo 3 11 ooo 3 13 o+o 4 19 --- 4 8 --o 4 14 -oo 4 18 o-o 4 9 ooo 4 16 ooo 5 12 -o- 5 12 -o- 5 17 -oo 5 13 oo- 5 10 ooo 5 11 ooo 6 19 o-o 6 16 ooo 6 8 ooo 6 14 o-o 6 15 o-o 6 18 ooo 7 17 --- 7 9 --o 7 18 -oo 7 10 o-o 7 11 ooo 7 16 ooo
-4.0,Gd Gd Ta Ta O O O O O O O O 0 7 o-o 0 7 o-+ 0 4 ooo 0 4 oo+ 0 5 ooo 0 6 oo+ 0 6 +oo 0 9 o-o 0 11 o-+ 0 8 ooo 1 9 -oo 1 8 -oo 1 6 ooo 1 5 -oo 1 5 ooo 1 10 ooo 1 7 o+o 1 4 ooo 1 11 oo- 1 9 ooo 2 10 ooo 2 11 ooo 2 7 ooo 2 4 ooo 2 8 ooo 2 6 ooo 3 8 ooo 3 9 ooo 3 5 ooo 3 10 ooo 3 4 oo+ 3 7 ooo 4 7 oo+ 4 7 ooo 5 6 oo- 5 6 ooo
-4.0,La La La La La La La La O O O O O O O O O O O O 0 19 ooo 0 8 ooo 0 13 ooo 0 12 ooo 0 15 ooo 0 17 ooo 1 14 o-o 1 18 o-o 1 9 ooo 1 16 ooo 1 12 ooo 1 11 ooo 2 18 -oo 2 10 -oo 2 8 -oo 2 14 ooo 2 16 ooo 2 19 ooo 3 9 ooo 3 11 ooo 3 10 o+o 3 17 o+o 3 15 +oo 3 13 ++o 4 10 -oo 4 19 -oo 4 8 -oo 4 12 ooo 4 17 ooo 4 11 ooo 5 18 ooo 5 16 ooo 5 9 oo- 5 15 ooo 5 13 oo- 5 8 ooo 6 12 --o 6 11 -oo 6 14 -oo 6 18 o-o 6 13 o-o 6 9 ooo 7 17 o-o 7 15 ooo 7 10 ooo 7 19 o-- 7 8 o-o 7 16 oo-
-4.0,La La La La Sc Sc Sc Sc O O O O O O O O O O O O 0 19 o-o 0 14 o-o 0 10 ooo 0 8 ooo 0 15 o-o 0 17 ooo 1 18 ooo 1 18 ooo 1 11 ooo 1 16 ooo 1 12 +oo 1 9 +oo 2 17 -oo 2 11 -oo 2 13 ooo 2 16 ooo 2 15 ooo 2 10 ooo 3 19 ooo 3 14 ooo 3 8 o+o 3 9 o+o 3 13 ooo 3 12 o+o 4 9 --- 4 10 --o 4 19 -oo 4 18 o-- 4 12 oo- 4 8 ooo 5 12 ooo 5 18 ooo 5 17 ooo 5 16 ooo 5 9 ooo 5 13 ooo 6 14 ooo 6 10 ooo 6 11 ooo 6 15 ooo 6 17 ooo 6 19 ooo 7 16 ooo 7 15 oo+ 7 11 ooo 7 8 oo+ 7 18 ooo 7 14 +oo
-4.0,Ce Ce Ce Ce Ti Ti O O O O O O O O O O O O 0 9 ooo 0 11 ooo 0 11 +oo 0 7 ooo 0 7 o+o 0 6 ooo 0 6 +oo 0 12 ooo 1 13 ooo 1 13 +oo 1 17 ooo 1 10 o+o 1 10 +oo 1 16 ooo 1 9 o+o 1 9 ++o 2 7 ooo 2 7 +oo 2 15 ooo 2 17 ooo 2 8 o+o 2 8 +oo 2 6 ooo 2 12 ooo 3 15 o-o 3 15 ooo 3 17 -oo 3 17 ooo 3 9 o-o 3 8 ooo 3 16 -oo 3 14 ooo 4 14 -oo 4 14 ooo 4 8 o-o 4 16 ooo 5 16 ooo 5 16 ooo 5 8 ooo 5 9 ooo 6 11 -oo 6 11 ooo 6 11 o-o 6 11 ooo 6 12 ooo 6 12 ooo 7 13 ooo 7 13 +oo 7 10 ooo 7 10 o+o 8 10 ooo 8 10 +oo 8 17 oo- 8 17 ooo 8 17 ooo 9 10 +oo 9 10 ooo 9 11 o+o 9 11 ooo 9 11 o+o
-4.0,Sr Sr Sr Sr Hf Hf Hf Hf O O O O O O O O O O O O 0 8 ooo 0 13 ooo 0 19 ooo 0 10 ooo 0 16 ooo 0 14 +oo 0 12 +oo 0 18 ++o 1 18 ooo 1 19 o-o 1 13 ooo 1 15 oo- 1 17 ooo 1 11 o-o 1 9 +oo 1 12 ooo 2 18 ooo 2 17 ooo 2 11 o+o 2 9 ooo 2 14 o+o 2 8 ooo 2 13 ooo 2 19 o+o 3 10 --o 3 10 -oo 3 8 --o 3 15 --o 3 16 -oo 3 11 ooo 3 9 ooo 3 12 ooo 4 17 ooo 4 18 ooo 4 14 ooo 4 10 o-o 4 16 o-o 4 15 ooo 5 19 --- 5 17 --o 5 9 -o- 5 13 o-o 5 8 oo- 5 16 ooo 6 11 ooo 6 19 ooo 6 15 ooo 6 8 ooo 6 18 ooo 6 10 ooo 7 13 --o 7 17 --o 7 9 -oo 7 18 o-o 7 16 ooo 7 14 ooo
-4.0,La La Ta Ta O O O O O O O O 0 4 o-o 0 7 o-o 0 10 ooo 0 5 oo+ 0 9 +-o 0 8 +oo 0 6 +o+ 1 7 --o 1 5 o-o 1 9 ooo 1 10 ooo 1 11 o-o 1 4 o-o 1 8 oo+ 2 11 ooo 2 10 ooo 2 6 ooo 2 9 ooo 2 4 ooo 2 7 ooo 3 6 ooo 3 5 oo+ 3 8 ooo 3 11 oo+
-4.0,La La La La Ti Ti O O O O O O O O O O 0 7 ooo 0 7 +oo 0 9 ooo 0 9 o+o 0 8 ooo 0 8 +oo 0 6 ooo 0 6 o+o 1 6 ooo 1 6 +oo 1 10 ooo 1 10 o+o 1 13 ooo 1 13 +oo 1 14 ooo 1 12 ooo 2 11 ooo 2 11 o+o 2 11 +oo 2 15 ooo 2 15 ooo 2 14 o+o 2 8 ooo 2 9 o+o 3 9 -o+ 3 9 oo+ 3 12 ooo 3 12 -+o 3 7 ooo 3 7 -oo 3 15 ooo 3 13 oo+ 4 10 ooo 4 13 -oo 4 12 ooo 4 14 o-o 4 14 ooo 4 6 ooo 5 15 -oo 5 15 ooo 5 8 -oo 5 8 ooo 5 11 ooo 5 10 ooo
